pack,topic,kind,doi,guidelines,papers,abstract_chars,oa_words,complete
clinical-topics-batch-6,"primary prevention icd sudden cardiac death",guideline,10.1016/j.jacc.2017.10.054,1,2,557,0,true
clinical-topics-batch-6,"primary sclerosing cholangitis medical therapy and surveillance",guideline,10.1002/hep.32771,1,2,334,0,true
clinical-topics-batch-6,"procalcitonin guided antibiotic de escalation in icu",guideline,10.1097/CCM.0000000000005337,1,2,344,0,true
clinical-topics-batch-6,"ptsd trauma focused psychotherapy and ssri",guideline,,1,1,3500,0,true
clinical-topics-batch-6,"pulmonary artery catheter utility in critically ill patients",guideline,10.1097/01.CCM.0000139939.06275.CD,1,2,1407,0,true
clinical-topics-batch-6,"pulmonary nodule evaluation and fleischner follow up",guideline,10.1148/radiol.2017161659,1,2,1421,0,true
clinical-topics-batch-6,"radial versus femoral access for pci",guideline,10.1161/CIR.0000000000001038,1,2,369,0,true
clinical-topics-batch-6,"reproductive health in rheumatic disease",guideline,10.1002/art.41191,1,2,2271,0,true
clinical-topics-batch-6,"solid organ transplant induction immunosuppression",guideline,10.1111/j.1600-6143.2009.02834.x,1,2,1044,0,true
clinical-topics-batch-6,"spontaneous coronary artery dissection",guideline,10.1161/CIR.0000000000000564,1,2,1113,0,true
clinical-topics-batch-6,"subclinical hypothyroidism treatment thresholds",guideline,10.1159/000356507,1,2,1972,0,true
clinical-topics-batch-6,"surgical site infection prevention",guideline,10.1001/jamasurg.2017.0904,1,2,2746,0,true
clinical-topics-batch-7,"takayasu arteritis biologic therapy",guideline,10.1002/art.41774,1,2,1768,0,true
clinical-topics-batch-7,"thrombotic thrombocytopenic purpura caplacizumab and plasma exchange",guideline,10.1111/jth.15010,1,2,1882,0,true
clinical-topics-batch-7,"thyroid nodule evaluation and fna",guideline,10.1089/thy.2015.0020,1,2,2670,0,true
clinical-topics-batch-7,"tick borne rickettsial disease empiric doxycycline",guideline,10.15585/mmwr.rr6502a1,1,2,1768,0,true
clinical-topics-batch-7,"transient ischemic attack rapid assessment",guideline,10.1161/STR.0000000000000375,1,2,2041,3073,true
clinical-topics-batch-7,"tricuspid regurgitation teer",guideline,10.1056/NEJMoa2300525,1,2,1995,0,true
clinical-topics-batch-7,"type 1 diabetes intensive glycemic control",guideline,10.2337/dc13-2141,1,1,373,0,true
clinical-topics-batch-7,"vericiguat in worsening heart failure",guideline,10.1161/CIR.0000000000001063,1,2,1666,0,true
clinical-topics-batch-7,"vte prophylaxis in mechanically ventilated icu patients",guideline,10.1378/chest.11-2296,1,2,2093,0,true
clinical-topics-batch-7,"Acromegaly somatostatin analog therapy",guideline,10.1210/jc.2014-2700,1,2,1259,0,true
clinical-topics-batch-7,"Acute abdomen and common surgical emergencies",guideline,10.1186/s13017-017-0141-6,1,2,711,17496,true
clinical-topics-batch-7,"Acute and chronic pain assessment and opioid safety",guideline,10.15585/mmwr.rr7103a1,1,2,2026,17342,true
clinical-topics-batch-7,"Acute asthma and COPD exacerbations",guideline,,1,3,2714,0,true
clinical-topics-batch-7,"Acute confusion, agitation, and capacity",guideline,,1,1,359,0,true
clinical-topics-batch-7,"Acute decompensated heart failure decongestion",guideline,10.1093/eurheartj/ehab368,1,2,339,0,true
clinical-topics-batch-7,"acute liver failure transplant referral",guideline,10.14309/ajg.0000000000002340,2,4,933,0,true
clinical-topics-batch-7,"Acute necrotising pancreatitis and step-up management approach",guideline,10.1056/NEJMoa0908821,1,2,1847,0,true
clinical-topics-batch-7,"Acute pancreatitis fluid and nutrition strategy",guideline,10.1056/NEJMoa2202884,1,2,2215,0,true
clinical-topics-batch-7,"Acute psychosis: assessment, management and antipsychotic therapy",guideline,10.1176/appi.ajp.2020.177901,1,2,311,0,true
clinical-topics-batch-7,"Acute red eye: differential diagnosis and emergency management",guideline,10.1016/j.ophtha.2018.10.020,1,2,373,0,true
clinical-topics-batch-7,"Adult-onset Still disease IL-1 and IL-6 blockade",guideline,10.1016/j.autrev.2014.01.058,1,2,1782,0,true
clinical-topics-batch-7,"Alcohol use disorder, Wernicke encephalopathy and alcohol-related liver disease",guideline,10.1016/j.jhep.2018.03.018,1,2,290,0,true
clinical-topics-batch-7,"Alcohol-associated hepatitis corticosteroids",guideline,10.1056/NEJMoa1412278,1,2,2365,0,true
clinical-topics-batch-7,"Allergic rhinitis intranasal steroids and immunotherapy",guideline,10.1016/j.anai.2017.08.012,1,2,1673,0,true
clinical-topics-batch-7,"AML Transformed from MPN",guideline,,1,1,3500,0,true
clinical-topics-batch-8,"Borderline personality disorder dialectical behavior therapy",paper,10.1002/14651858.CD012955.pub2,0,2,4000,0,true
clinical-topics-batch-8,"Bronchiectasis and recurrent chest infections",guideline,10.1183/13993003.00629-2017,1,2,1376,0,true
clinical-topics-batch-8,"Bronchiolitis and viral wheeze",guideline,10.1542/peds.2014-2742,1,2,410,0,true
clinical-topics-batch-8,"Bronchiolitis: assessment, risk stratification and management",guideline,,1,2,1777,0,true
clinical-topics-batch-8,"CABG versus PCI multivessel coronary disease",guideline,10.1161/CIR.0000000000001038,1,2,324,0,true
clinical-topics-batch-8,"canagliflozin renal outcomes type 2 diabetes nephropathy",paper,10.1056/NEJMoa1811744,0,2,2065,0,true
clinical-topics-batch-8,"canakinumab anti-inflammatory therapy atherosclerotic disease",paper,10.1056/NEJMoa1707914,0,2,2599,0,true
clinical-topics-batch-8,"CAR-T cell therapy refractory large B-cell lymphoma axicabtagene",guideline,10.1056/NEJMoa1707447,1,2,2098,0,true
clinical-topics-batch-8,"Cardiac myosin activator therapy in HFrEF",guideline,10.1056/NEJMoa2025797,2,4,1956,0,true
clinical-topics-batch-8,"cardiac resynchronization therapy heart failure COMPANION trial",paper,10.1056/NEJMoa032423,0,2,1604,0,true
clinical-topics-batch-8,"Carpal tunnel syndrome: diagnosis and management",guideline,,1,1,341,0,true
clinical-topics-batch-8,"Catatonia benzodiazepines and ECT",guideline,10.3389/fpsyt.2014.00181,1,2,826,11196,true
clinical-topics-batch-8,"Cellulitis, erysipelas, and mimics",guideline,10.1093/cid/ciu296,1,2,897,0,true
clinical-topics-batch-8,"Chest pain assessment in the ED",guideline,10.1161/CIR.0000000000001029,1,2,1237,0,true
clinical-topics-batch-8,"Chikungunya and Zika Arthropathy",guideline,10.1016/j.lpm.2015.10.007,1,1,306,0,true
clinical-topics-batch-8,"Childhood asthma and wheeze phenotypes",guideline,,1,1,2714,0,true
clinical-topics-batch-8,"Chronic hepatitis B antiviral therapy",guideline,10.1002/hep.29800,1,2,334,0,true
clinical-topics-batch-8,"Chronic lymphocytic leukaemia: chemoimmunotherapy with FCR",guideline,10.1016/j.annonc.2020.09.019,1,2,370,0,true
clinical-topics-batch-8,"Chronic spontaneous urticaria omalizumab",guideline,10.1111/all.15090,1,2,1424,0,true
clinical-topics-batch-8,"Cirrhosis and portal hypertension",guideline,10.1016/j.jhep.2021.12.022,1,2,1431,0,true
clinical-topics-batch-8,"Cirrhosis ascites and spontaneous bacterial peritonitis",guideline,10.1002/hep.31884,1,2,333,0,true
clinical-topics-batch-8,"CKD referral thresholds",guideline,,1,2,3500,0,true
clinical-topics-batch-8,"clopidogrel aspirin acute minor ischemic stroke CHANCE",guideline,10.1056/NEJMoa1215340,1,2,1667,0,true
clinical-topics-batch-8,"Clozapine for treatment-resistant schizophrenia",guideline,10.1176/appi.ajp.2020.177901,1,2,339,0,true
clinical-topics-batch-8,"Collapse, syncope, and cardiac arrest algorithms",guideline,10.1161/CIR.0000000000000499,1,2,355,0,true
clinical-topics-batch-9,"Depression: diagnosis, pharmacotherapy and monitoring",guideline,10.1177/0706743716659417,1,2,1934,0,true
clinical-topics-batch-9,"Diabetic foot infection and osteomyelitis",guideline,10.1086/524355,1,1,304,0,true
clinical-topics-batch-9,"Difficult airway management",guideline,10.1111/anae.14015,1,2,342,0,true
clinical-topics-batch-9,"Diverticulitis classifications (Hinchey) and surgical indications",guideline,10.1186/s13017-020-00318-w,1,2,605,0,true
clinical-topics-batch-9,"DNACPR, treatment escalation planning and advance care planning",guideline,,1,1,333,0,true
clinical-topics-batch-9,"Drug allergy assessment and penicillin allergy de-labelling",guideline,10.1001/jama.2018.19283,1,2,2146,0,true
clinical-topics-batch-9,"Drug eruptions and severe cutaneous adverse reactions (SCAR)",guideline,10.1111/jdv.15301,1,3,1887,0,true
clinical-topics-batch-9,"Drug reaction with eosinophilia and systemic symptoms",guideline,10.1111/jdv.15301,1,3,1887,0,true
clinical-topics-batch-9,"Drug-Induced AKI and Nephrotoxins",guideline,,1,1,3500,0,true
clinical-topics-batch-9,"Drug-resistant tuberculosis all-oral regimens",guideline,,1,1,3500,0,true
clinical-topics-batch-9,"Durable LVAD therapy for advanced heart failure",guideline,10.1161/CIR.0000000000001063,1,2,1666,0,true
clinical-topics-batch-9,"Dyslipidaemia and cardiovascular risk modification",guideline,10.1016/j.jacc.2018.11.003,1,2,317,0,true
clinical-topics-batch-9,"Dyspepsia, H. pylori, and peptic ulcer disease",guideline,10.14309/ajg.0000000000000422,1,2,684,0,true
clinical-topics-batch-9,"early goal-directed therapy septic shock ProCESS trial",paper,10.1056/NEJMoa1401602,0,2,2461,0,true
clinical-topics-batch-9,"Early pregnancy bleeding and ectopic pregnancy",guideline,,1,1,3500,0,true
clinical-topics-batch-9,"Eating disorder medical stabilization and refeeding",guideline,10.1002/eat.22259,1,3,1192,0,true
clinical-topics-batch-9,"Eating disorders and refeeding syndrome",guideline,,1,2,605,0,true
clinical-topics-batch-9,"ECG interpretation: common acute findings and life-threatening arrhythmias",guideline,10.1161/CIR.0000000000000316,1,1,348,0,true
clinical-topics-batch-9,"Ectopic pregnancy: diagnosis and management",guideline,,1,1,3500,0,true
clinical-topics-batch-9,"Emergency contraception: mechanisms, timing and clinical guidance",guideline,10.1097/AOG.0000000000001815,1,2,489,0,true
clinical-topics-batch-9,"empagliflozin cardiovascular outcomes type 2 diabetes EMPA-REG",paper,10.1056/NEJMoa1504720,0,2,2054,0,true
clinical-topics-batch-9,"empagliflozin chronic kidney disease progression",paper,10.1056/NEJMoa2204233,0,2,1754,5777,true
clinical-topics-batch-9,"enalapril ACE inhibitor survival reduced left ventricular ejection fraction",paper,10.1056/NEJM199108013250501,0,2,1755,0,true
clinical-topics-batch-9,"Endocarditis and prophylaxis",guideline,10.1093/eurheartj/ehz319,1,2,295,0,true
clinical-topics-batch-9,"endovascular thrombectomy time to treatment ischemic stroke meta-analysis",paper,10.1016/S0140-6736(16)30163-X,0,2,3296,0,true
clinical-topics-batch-10,"Eosinophilia Differential Diagnosis",guideline,10.1182/blood-2014-11-585828,1,1,385,0,true
clinical-topics-batch-10,"Eosinophilic esophagitis topical steroid and elimination diet",guideline,10.1111/apt.14030,1,1,304,0,true
clinical-topics-batch-10,"Epilepsy antiseizure medication selection",guideline,,1,1,1414,0,true
clinical-topics-batch-10,"Epistaxis: assessment and management",guideline,10.1177/0194599819897913,1,1,379,0,true
clinical-topics-batch-10,"ESBL Enterobacterales bloodstream infection therapy",guideline,10.1093/cid/ciab1013,1,1,2132,0,true
clinical-topics-batch-10,"Extra-articular RA: nodules, vasculitis, ILD, Felty syndrome, ocular involvement",guideline,10.1002/acr.24596,1,1,1355,0,true
clinical-topics-batch-10,"ezetimibe added to statin therapy acute coronary syndrome",paper,10.1056/NEJMoa1410489,0,1,1697,0,true
clinical-topics-batch-10,"Falls assessment and prevention in older adults",guideline,10.1111/j.1532-5415.2012.03948.x,1,1,337,0,true
clinical-topics-batch-10,"fecal microbiota transplant recurrent Clostridioides difficile infection",guideline,10.14309/ajg.0000000000001278,1,1,855,0,true
clinical-topics-batch-10,"Fever and neutropenia empiric antibiotic strategy",guideline,10.1200/JCO.2010.31.8344,1,1,354,0,true
clinical-topics-batch-10,"Fever in children and sepsis screening",guideline,,1,1,343,0,true
clinical-topics-batch-10,"Fibromyalgia multidisciplinary management",guideline,10.1136/annrheumdis-2016-210197,1,1,343,0,true
clinical-topics-batch-10,"Frailty and comprehensive geriatric assessment",guideline,,1,1,298,0,true
clinical-topics-batch-10,"Futility, prognostication, and family communication in critical illness",guideline,10.1097/CCM.0b013e318165c92f,1,1,322,0,true
clinical-topics-batch-10,"Gastrointestinal Motility and Dysmotility Overview",guideline,10.1038/ajg.2013.18,1,1,2089,0,true
clinical-topics-batch-10,"global burden bacterial antimicrobial resistance",paper,10.1016/S0140-6736(21)02724-0,0,1,4000,0,true
clinical-topics-batch-10,"global prevalence depression anxiety disorders COVID-19 pandemic",paper,10.1016/S0140-6736(21)02143-7,0,1,2937,10961,true
clinical-topics-batch-10,"GLP-1 receptor agonist liraglutide cardiovascular outcomes type 2 diabetes",paper,10.1056/NEJMoa1603827,0,1,1484,0,true
clinical-topics-batch-10,"GLP-1 receptor agonist therapy for type 2 diabetes",guideline,10.2337/dc23-S009,1,1,822,0,true
clinical-topics-batch-10,"Gout urate-lowering treat-to-target strategy",guideline,10.1002/art.41247,1,1,1841,0,true
clinical-topics-batch-10,"Gram-negative bloodstream infection duration",guideline,10.1016/S0140-6736(18)31746-9,1,1,351,0,true
clinical-topics-batch-10,"Gut Microbiome in GI Disease",guideline,10.1136/gutjnl-2016-313101,1,1,1940,9677,true
clinical-topics-batch-10,"Heart failure landmark trials: PARADIGM-HF, DAPA-HF, EMPEROR-Reduced insights",paper,10.1056/NEJMoa1911303,0,1,1500,0,true
clinical-topics-batch-10,"heart failure reduced ejection fraction management guideline SGLT2 ARNI MRA beta blocker",guideline,10.1161/CIR.0000000000001063,1,1,1666,0,true
clinical-topics-batch-10,"Heavy menstrual bleeding: assessment and management",guideline,,1,1,1434,0,true
clinical-topics-batch-11,"Helicobacter pylori eradication peptic ulcer bleeding recurrence",guideline,10.14309/ajg.0000000000000422,1,1,262,0,true
clinical-topics-batch-11,"Hemophagocytic lymphohistiocytosis diagnosis and therapy",guideline,10.1182/blood-2013-11-534824,1,1,1638,0,true
clinical-topics-batch-11,"Heparin-induced thrombocytopenia alternatives: argatroban, fondaparinux, bivalirudin",guideline,10.1182/bloodadvances.2019000329,1,1,1835,0,true
clinical-topics-batch-11,"Heparin-induced thrombocytopenia: diagnosis and management",guideline,10.1182/bloodadvances.2019000329,1,1,1835,0,true
clinical-topics-batch-11,"Hepatic encephalopathy recurrence prevention",guideline,10.1002/hep.27367,1,1,288,0,true
clinical-topics-batch-11,"hepatorenal",guideline,10.1002/hep.31884,1,1,247,0,true
clinical-topics-batch-11,"Hepatorenal syndrome vasoconstrictor therapy",guideline,10.1002/hep.31884,1,1,269,0,true
clinical-topics-batch-11,"Herpes simplex, impetigo and common skin infections",guideline,10.1093/cid/ciu296,1,1,897,0,true
clinical-topics-batch-11,"HFref best treatment options",guideline,10.1161/CIR.0000000000001063,1,1,1666,0,true
clinical-topics-batch-11,"Hidradenitis suppurativa: assessment and treatment",guideline,10.1016/j.jaad.2019.04.047,1,1,319,0,true
clinical-topics-batch-11,"High-frequency oscillatory ventilation and lung recruitment in severe ARDS",guideline,10.1164/rccm.201703-0548ST,1,1,1630,0,true
clinical-topics-batch-11,"Hip fracture management and perioperative optimisation",guideline,,1,1,281,0,true
clinical-topics-batch-11,"Hodgkin lymphoma: brentuximab vedotin frontline therapy",guideline,10.1056/NEJMoa1708970,1,1,292,0,true
clinical-topics-batch-11,"how should I manage septic shock",guideline,10.1097/CCM.0000000000005337,1,1,303,0,true
clinical-topics-batch-11,"HPV vaccination cervical intraepithelial neoplasia FUTURE II",paper,10.1056/NEJMoa061741,0,1,1895,0,true
clinical-topics-batch-11,"HRS diagnosis",guideline,10.1002/hep.31884,1,1,275,0,true
clinical-topics-batch-11,"Hyperphosphataemia in CKD",guideline,10.1038/ki.2009.435,1,2,61,0,true
clinical-topics-batch-11,"Hypersensitivity Pneumonitis variants by antigen",guideline,10.1164/rccm.202005-2032ST,1,1,1755,17821,true
clinical-topics-batch-11,"hypertension treatment patients 80 years or older very elderly",guideline,10.1056/NEJMoa0805459,1,1,303,0,true
clinical-topics-batch-11,"Hypertensive disorders of pregnancy and pre-eclampsia",guideline,10.1097/AOG.0000000000003018,1,1,1192,0,true
clinical-topics-batch-11,"Hypogranular APL Morphology Pitfalls",guideline,10.1182/blood-2009-07-209841,1,1,340,0,true
clinical-topics-batch-11,"Hypoventilation from central CNS depressants",guideline,10.1056/NEJMra1003665,1,1,2164,0,true
