topic,normalized_topic
"Cushings disease: pituitary source, inferior petrosal sinus sampling, transsphenoidal surgery","cushings disease pituitary source inferior petrosal sinus sampling transsphenoidal surgery"
"Cushings syndrome: ACTH-dependent vs independent, screening, dexamethasone suppression","cushings syndrome acth dependent vs independent screening dexamethasone suppression"
"Cystic fibrosis CFTR modulator therapy","cystic fibrosis cftr modulator therapy"
"dabigatran versus warfarin atrial fibrillation stroke prevention","dabigatran versus warfarin atrial fibrillation stroke prevention"
"Delayed Haemolytic Transfusion Reactions","delayed haemolytic transfusion reactions"
"Delirium and acute confusional states","delirium and acute confusional states"
"Delirium vs dementia differentiation","delirium vs dementia differentiation"
"Delirium: recognition, risk factors, prevention and management","delirium recognition risk factors prevention and management"
"Dementia: behavioural and psychological symptoms management","dementia behavioural and psychological symptoms management"
"Depression and anxiety disorders","depression and anxiety disorders"
"Depression: diagnosis, pharmacotherapy and monitoring","depression diagnosis pharmacotherapy and monitoring"
"Diabetic foot infection and osteomyelitis","diabetic foot infection and osteomyelitis"
"Difficult airway management","difficult airway management"
"Diverticulitis classifications (Hinchey) and surgical indications","diverticulitis classifications hinchey and surgical indications"
"DNACPR, treatment escalation planning and advance care planning","dnacpr treatment escalation planning and advance care planning"
"Drug allergy assessment and penicillin allergy de-labelling","drug allergy assessment and penicillin allergy de labelling"
"Drug eruptions and severe cutaneous adverse reactions (SCAR)","drug eruptions and severe cutaneous adverse reactions scar"
"Drug reaction with eosinophilia and systemic symptoms","drug reaction with eosinophilia and systemic symptoms"
"Drug-Induced AKI and Nephrotoxins","drug induced aki and nephrotoxins"
"Drug-resistant tuberculosis all-oral regimens","drug resistant tuberculosis all oral regimens"
"Durable LVAD therapy for advanced heart failure","durable lvad therapy for advanced heart failure"
"Dyslipidaemia and cardiovascular risk modification","dyslipidaemia and cardiovascular risk modification"
"Dyspepsia, H. pylori, and peptic ulcer disease","dyspepsia h pylori and peptic ulcer disease"
"early goal-directed therapy septic shock ProCESS trial","early goal directed therapy septic shock process trial"
"Early pregnancy bleeding and ectopic pregnancy","early pregnancy bleeding and ectopic pregnancy"
"Eating disorder medical stabilization and refeeding","eating disorder medical stabilization and refeeding"
"Eating disorders and refeeding syndrome","eating disorders and refeeding syndrome"
"ECG interpretation: common acute findings and life-threatening arrhythmias","ecg interpretation common acute findings and life threatening arrhythmias"
"Ectopic pregnancy: diagnosis and management","ectopic pregnancy diagnosis and management"
"Emergency contraception: mechanisms, timing and clinical guidance","emergency contraception mechanisms timing and clinical guidance"
"empagliflozin cardiovascular outcomes type 2 diabetes EMPA-REG","empagliflozin cardiovascular outcomes type 2 diabetes empa reg"
"empagliflozin chronic kidney disease progression","empagliflozin chronic kidney disease progression"
"enalapril ACE inhibitor survival reduced left ventricular ejection fraction","enalapril ace inhibitor survival reduced left ventricular ejection fraction"
"Endocarditis and prophylaxis","endocarditis and prophylaxis"
"endovascular thrombectomy time to treatment ischemic stroke meta-analysis","endovascular thrombectomy time to treatment ischemic stroke meta analysis"
"Eosinophilia Differential Diagnosis","eosinophilia differential diagnosis"
"Eosinophilic esophagitis topical steroid and elimination diet","eosinophilic esophagitis topical steroid and elimination diet"
"Epilepsy antiseizure medication selection","epilepsy antiseizure medication selection"
"Epistaxis: assessment and management","epistaxis assessment and management"
"ESBL Enterobacterales bloodstream infection therapy","esbl enterobacterales bloodstream infection therapy"
"Extra-articular RA: nodules, vasculitis, ILD, Felty syndrome, ocular involvement","extra articular ra nodules vasculitis ild felty syndrome ocular involvement"
"ezetimibe added to statin therapy acute coronary syndrome","ezetimibe added to statin therapy acute coronary syndrome"
"Falls assessment and prevention in older adults","falls assessment and prevention in older adults"
"fecal microbiota transplant recurrent Clostridioides difficile infection","fecal microbiota transplant recurrent clostridioides difficile infection"
"Fever and neutropenia empiric antibiotic strategy","fever and neutropenia empiric antibiotic strategy"
"Fever in children and sepsis screening","fever in children and sepsis screening"
"Fibromyalgia multidisciplinary management","fibromyalgia multidisciplinary management"
"Frailty and comprehensive geriatric assessment","frailty and comprehensive geriatric assessment"
"Futility, prognostication, and family communication in critical illness","futility prognostication and family communication in critical illness"
"Gastrointestinal Motility and Dysmotility Overview","gastrointestinal motility and dysmotility overview"
"global burden bacterial antimicrobial resistance","global burden bacterial antimicrobial resistance"
"global prevalence depression anxiety disorders COVID-19 pandemic","global prevalence depression anxiety disorders covid 19 pandemic"
"GLP-1 receptor agonist liraglutide cardiovascular outcomes type 2 diabetes","glp 1 receptor agonist liraglutide cardiovascular outcomes type 2 diabetes"
"GLP-1 receptor agonist therapy for type 2 diabetes","glp 1 receptor agonist therapy for type 2 diabetes"
"Gout urate-lowering treat-to-target strategy","gout urate lowering treat to target strategy"
"Gram-negative bloodstream infection duration","gram negative bloodstream infection duration"
"Gut Microbiome in GI Disease","gut microbiome in gi disease"
"Heart failure landmark trials: PARADIGM-HF, DAPA-HF, EMPEROR-Reduced insights","heart failure landmark trials paradigm hf dapa hf emperor reduced insights"
"heart failure reduced ejection fraction management guideline SGLT2 ARNI MRA beta blocker","heart failure reduced ejection fraction management guideline sglt2 arni mra beta blocker"
"Heavy menstrual bleeding: assessment and management","heavy menstrual bleeding assessment and management"
"Helicobacter pylori eradication peptic ulcer bleeding recurrence","helicobacter pylori eradication peptic ulcer bleeding recurrence"
"Hemophagocytic lymphohistiocytosis diagnosis and therapy","hemophagocytic lymphohistiocytosis diagnosis and therapy"
"Heparin-induced thrombocytopenia alternatives: argatroban, fondaparinux, bivalirudin","heparin induced thrombocytopenia alternatives argatroban fondaparinux bivalirudin"
"Heparin-induced thrombocytopenia: diagnosis and management","heparin induced thrombocytopenia diagnosis and management"
"Hepatic encephalopathy recurrence prevention","hepatic encephalopathy recurrence prevention"
"hepatorenal","hepatorenal"
"Hepatorenal syndrome vasoconstrictor therapy","hepatorenal syndrome vasoconstrictor therapy"
"Herpes simplex, impetigo and common skin infections","herpes simplex impetigo and common skin infections"
"HFref best treatment options","hfref best treatment options"
"Hidradenitis suppurativa: assessment and treatment","hidradenitis suppurativa assessment and treatment"
"High-frequency oscillatory ventilation and lung recruitment in severe ARDS","high frequency oscillatory ventilation and lung recruitment in severe ards"
"Hip fracture management and perioperative optimisation","hip fracture management and perioperative optimisation"
"Hodgkin lymphoma: brentuximab vedotin frontline therapy","hodgkin lymphoma brentuximab vedotin frontline therapy"
"how should I manage septic shock","how should i manage septic shock"
"HPV vaccination cervical intraepithelial neoplasia FUTURE II","hpv vaccination cervical intraepithelial neoplasia future ii"
"HRS diagnosis","hrs diagnosis"
"Hyperphosphataemia in CKD","hyperphosphataemia in ckd"
"Hypersensitivity Pneumonitis variants by antigen","hypersensitivity pneumonitis variants by antigen"
"hypertension treatment patients 80 years or older very elderly","hypertension treatment patients 80 years or older very elderly"
"Hypertensive disorders of pregnancy and pre-eclampsia","hypertensive disorders of pregnancy and pre eclampsia"
"Hypogranular APL Morphology Pitfalls","hypogranular apl morphology pitfalls"
"Hypoventilation from central CNS depressants","hypoventilation from central cns depressants"
"ICU renal replacement therapy initiation timing","icu renal replacement therapy initiation timing"
"Idiopathic facial nerve palsy (Bell’s palsy): corticosteroid timing, eye care","idiopathic facial nerve palsy bell s palsy corticosteroid timing eye care"
"Infectious diarrhea and travelers diarrhea management","infectious diarrhea and travelers diarrhea management"
"Infective endocarditis antibiotic duration and surgery","infective endocarditis antibiotic duration and surgery"
"Infective endocarditis antimicrobial and oral step-down strategy","infective endocarditis antimicrobial and oral step down strategy"
"initial invasive or conservative strategy stable coronary disease","initial invasive or conservative strategy stable coronary disease"
"intensive blood glucose control sulphonylureas insulin type 2 diabetes UKPDS","intensive blood glucose control sulphonylureas insulin type 2 diabetes ukpds"
"intensive blood pressure control cardiovascular outcomes systolic","intensive blood pressure control cardiovascular outcomes systolic"
"Intensive care high yield clinical guidelines","intensive care high yield clinical guidelines"
"intensive glucose lowering type 2 diabetes","intensive glucose lowering type 2 diabetes"
"intensive LDL cholesterol lowering statin meta-analysis","intensive ldl cholesterol lowering statin meta analysis"
"Intracerebral hemorrhage acute management","intracerebral hemorrhage acute management"
"Intravenous fluid prescribing and fluid balance management","intravenous fluid prescribing and fluid balance management"
"Irradiated, Leukoreduced and Washed Blood Products","irradiated leukoreduced and washed blood products"
"Ischaemic heart disease and acute coronary syndromes","ischaemic heart disease and acute coronary syndromes"
"Juvenile idiopathic arthritis biologic strategy","juvenile idiopathic arthritis biologic strategy"
"Large bowel obstruction, volvulus, and pseudo-obstruction management","large bowel obstruction volvulus and pseudo obstruction management"
"Lateral epicondylitis (tennis elbow): assessment and management","lateral epicondylitis tennis elbow assessment and management"
"Latex and perioperative allergy evaluation","latex and perioperative allergy evaluation"
"Leflunomide, Sulfasalazine, and Hydroxychloroquine toxicities","leflunomide sulfasalazine and hydroxychloroquine toxicities"
"Left atrial appendage occlusion for AF stroke prevention","left atrial appendage occlusion for af stroke prevention"
"Leukaostasis Syndrome","leukaostasis syndrome"
"Low back pain and sciatica","low back pain and sciatica"
"low tidal volume ventilation ARDS lung protective","low tidal volume ventilation ards lung protective"
"Lung-protective ventilation strategy in ARDS","lung protective ventilation strategy in ards"
"Male hypogonadism testosterone replacement","male hypogonadism testosterone replacement"
"Malnutrition screening: MUST, NRS-2002, and nutritional support","malnutrition screening must nrs 2002 and nutritional support"
"management of HF eith Reduced ejection fraction","management of hf eith reduced ejection fraction"
"management of HF with Reduced ejection fraction","management of hf with reduced ejection fraction"
"management of PRESS","management of press"
"Mechanical low back pain: assessment, red flags and management","mechanical low back pain assessment red flags and management"
"Menopause and hormone replacement therapy: evidence and guidance","menopause and hormone replacement therapy evidence and guidance"
"Mental capacity, consent and best-interest decisions","mental capacity consent and best interest decisions"
"meropenem versus piperacillin tazobactam sepsis MERINO trial","meropenem versus piperacillin tazobactam sepsis merino trial"
"Metastatic colorectal cancer systemic therapy sequencing","metastatic colorectal cancer systemic therapy sequencing"
"Metastatic NSCLC EGFR and ALK targeted therapy","metastatic nsclc egfr and alk targeted therapy"
"Metformin and glycemic legacy in type 2 diabetes","metformin and glycemic legacy in type 2 diabetes"
"metformin diabetes","metformin diabetes"
"methotrexate early rheumatoid arthritis combination therapy TEAR","methotrexate early rheumatoid arthritis combination therapy tear"
"methylene blue in vasoplegic shock","methylene blue in vasoplegic shock"
"metoprolol succinate chronic heart failure mortality MERIT-HF","metoprolol succinate chronic heart failure mortality merit hf"
"metylene blue in vasoplegic shock","metylene blue in vasoplegic shock"
"Mineralocorticoid receptor antagonists in heart failure","mineralocorticoid receptor antagonists in heart failure"
"Miscarriage: diagnosis, classification and management","miscarriage diagnosis classification and management"
"Monocytosis and Lymphocytosis Diagnostic Algorithms","monocytosis and lymphocytosis diagnostic algorithms"
"MSI-high metastatic colorectal cancer immunotherapy","msi high metastatic colorectal cancer immunotherapy"
"Multiple myeloma: daratumumab-based frontline therapy","multiple myeloma daratumumab based frontline therapy"
"Multiple myeloma: VRd versus Rd for newly diagnosed disease","multiple myeloma vrd versus rd for newly diagnosed disease"
"Myasthenia gravis targeted immunotherapy","myasthenia gravis targeted immunotherapy"
"Myelodysplastic syndrome: azacitidine hypomethylating therapy","myelodysplastic syndrome azacitidine hypomethylating therapy"
"Myelofibrosis: JAK inhibition with ruxolitinib","myelofibrosis jak inhibition with ruxolitinib"
"Neonatal jaundice: assessment, phototherapy and exchange transfusion","neonatal jaundice assessment phototherapy and exchange transfusion"
"Neuromuscular blockade in early ARDS","neuromuscular blockade in early ards"
"nivolumab ipilimumab advanced melanoma overall survival","nivolumab ipilimumab advanced melanoma overall survival"
"Noninvasive ventilation for acute respiratory failure","noninvasive ventilation for acute respiratory failure"
"Obsessive-compulsive disorder SSRI and ERP","obsessive compulsive disorder ssri and erp"
"Obstructive sleep apnoea and obesity hypoventilation","obstructive sleep apnoea and obesity hypoventilation"
"Opioid Rotation and Equianalgesic Dosing","opioid rotation and equianalgesic dosing"
"Opioid use disorder: withdrawal, maintenance therapy and harm reduction","opioid use disorder withdrawal maintenance therapy and harm reduction"
"Orbital and periorbital cellulitis: classification and management","orbital and periorbital cellulitis classification and management"
"Orthostatic hypotension: diagnosis and management in older adults","orthostatic hypotension diagnosis and management in older adults"
"oseltamivir treatment influenza healthy adults","oseltamivir treatment influenza healthy adults"
"Osteoporotic fragility fracture and secondary prevention","osteoporotic fragility fracture and secondary prevention"
"Otitis media, otitis externa and mastoiditis","otitis media otitis externa and mastoiditis"
"Oxygen prescribing, target saturations and hypoxia management","oxygen prescribing target saturations and hypoxia management"
"Paediatric anaphylaxis: recognition and emergency management","paediatric anaphylaxis recognition and emergency management"
"Paediatric asthma: diagnosis, assessment and stepwise management","paediatric asthma diagnosis assessment and stepwise management"
"Pancreatic adenocarcinoma systemic therapy","pancreatic adenocarcinoma systemic therapy"
"Pancreatic cancer systemic and adjuvant therapy","pancreatic cancer systemic and adjuvant therapy"
"Pancytopenia Diagnostic Workup","pancytopenia diagnostic workup"
"Papilloedema : funduscopic staging, pseudo- papilloedema vs true disc swelling","papilloedema funduscopic staging pseudo papilloedema vs true disc swelling"
"Patent foramen ovale closure after cryptogenic stroke","patent foramen ovale closure after cryptogenic stroke"
"PCSK9 inhibitor evolocumab cardiovascular outcomes","pcsk9 inhibitor evolocumab cardiovascular outcomes"
"Pelvic inflammatory disease: diagnosis and treatment","pelvic inflammatory disease diagnosis and treatment"
"pembrolizumab plus chemotherapy metastatic non-small cell lung cancer","pembrolizumab plus chemotherapy metastatic non small cell lung cancer"
"Penicillin allergy delabeling and testing","penicillin allergy delabeling and testing"
"Penicillin allergy evaluation and delabeling","penicillin allergy evaluation and delabeling"
"Perinatal depression screening and treatment","perinatal depression screening and treatment"
"Perioperative antiplatelet and anticoagulant management","perioperative antiplatelet and anticoagulant management"
"Perioperative diabetes management","perioperative diabetes management"
"Perioperative management of common comorbidities","perioperative management of common comorbidities"
"Perioperative risk assessment and optimisation","perioperative risk assessment and optimisation"
"Peripheral arterial disease and claudication","peripheral arterial disease and claudication"
"Pleural effusion and parapneumonic effusion management","pleural effusion and parapneumonic effusion management"
"pneumonia","pneumonia"
"Polycystic ovary syndrome metabolic management","polycystic ovary syndrome metabolic management"
"Polycythemia vera: hematocrit targets, aspirin, and cardiovascular risk reduction","polycythemia vera hematocrit targets aspirin and cardiovascular risk reduction"
"Polypharmacy and deprescribing: STOPP/START criteria","polypharmacy and deprescribing stopp start criteria"
"Portal hypertension and variceal bleeding","portal hypertension and variceal bleeding"
"Postoperative ileus: prevention and management","postoperative ileus prevention and management"
"Postoperative nausea and vomiting: prevention and treatment","postoperative nausea and vomiting prevention and treatment"
"Postural Orthostatic Tachycardia Syndrome (POTS): tilt table test criteria, non-pharmacological methods","postural orthostatic tachycardia syndrome pots tilt table test criteria non pharmacological methods"
"Pressure ulcers: staging, prevention and wound management","pressure ulcers staging prevention and wound management"
"Primary aldosteronism diagnosis and treatment","primary aldosteronism diagnosis and treatment"
"primary angioplasty versus thrombolytic therapy acute myocardial infarction","primary angioplasty versus thrombolytic therapy acute myocardial infarction"
"Primary membranous nephropathy immunosuppression","primary membranous nephropathy immunosuppression"
"Prolactinoma dopamine agonist therapy","prolactinoma dopamine agonist therapy"
"prone positioning ARDS","prone positioning ards"
"Prone positioning in severe ARDS","prone positioning in severe ards"
"prone positioning severe acute respiratory distress syndrome","prone positioning severe acute respiratory distress syndrome"
"Prosthetic joint infection diagnosis and retention strategy","prosthetic joint infection diagnosis and retention strategy"
"Prothrombin G20210A Mutation","prothrombin g20210a mutation"
"Psoriasis: diagnosis, severity assessment and systemic treatment","psoriasis diagnosis severity assessment and systemic treatment"
"Psychosis and acute behavioural disturbance","psychosis and acute behavioural disturbance"
"PTSD trauma-focused psychotherapy and SSRI","ptsd trauma focused psychotherapy and ssri"
"Pulmonary nodule evaluation and Fleischner follow-up","pulmonary nodule evaluation and fleischner follow up"
"Pulmonary sarcoidosis corticosteroid therapy","pulmonary sarcoidosis corticosteroid therapy"
"Rabies pre- and post-exposure prophylaxis","rabies pre and post exposure prophylaxis"
"Radial versus femoral access for PCI","radial versus femoral access for pci"
"Radiation necrosis vs tumour progression: perfusion MRI and PET scan utility","radiation necrosis vs tumour progression perfusion mri and pet scan utility"
"Rectal cancer: total mesorectal excision, neoadjuvant chemoradiotherapy","rectal cancer total mesorectal excision neoadjuvant chemoradiotherapy"
"Rehabilitation after stroke: principles and evidence","rehabilitation after stroke principles and evidence"
"Retinal detachment: presentation and emergency management","retinal detachment presentation and emergency management"
"Rh Alloimmunisation Management","rh alloimmunisation management"
"rivaroxaban treatment acute deep vein thrombosis EINSTEIN","rivaroxaban treatment acute deep vein thrombosis einstein"
"rosuvastatin primary prevention elevated C-reactive protein","rosuvastatin primary prevention elevated c reactive protein"
"sacubitril valsartan heart failure reduced ejection fraction mortality","sacubitril valsartan heart failure reduced ejection fraction mortality"
"Sarcoidosis systemic immunosuppression","sarcoidosis systemic immunosuppression"
"Scabies: diagnosis, treatment and outbreak management","scabies diagnosis treatment and outbreak management"
"Secondary immunodeficiency from biologics and steroids","secondary immunodeficiency from biologics and steroids"
"Sedation outside theatres and procedural sedation safety","sedation outside theatres and procedural sedation safety"
"Self-harm, suicide risk assessment and safe management","self harm suicide risk assessment and safe management"
"semaglutide once weekly obesity weight loss STEP 1","semaglutide once weekly obesity weight loss step 1"
"sepsis bundle","sepsis bundle"
"sepsis corticosteroids","sepsis corticosteroids"
"sepsis diagnosis qSOFA SOFA criteria Sepsis-3 definition","sepsis diagnosis qsofa sofa criteria sepsis 3 definition"
"sepsis early goal directed therapy","sepsis early goal directed therapy"
"sepsis septic shock management surviving sepsis campaign 2021 guideline antibiotics fluids vasopressors","sepsis septic shock management surviving sepsis campaign 2021 guideline antibiotics fluids vasopressors"
"Sepsis-3 definitions and clinical criteria","sepsis 3 definitions and clinical criteria"
"Sepsis-3 definitions and early resuscitation bundles","sepsis 3 definitions and early resuscitation bundles"
"Serotonin syndrome recognition and management","serotonin syndrome recognition and management"
"Severe malaria artesunate therapy","severe malaria artesunate therapy"
"SGLT-2 inhibitors in heart failure","sglt 2 inhibitors in heart failure"
"SGLT2 inhibitor therapy for type 2 diabetes","sglt2 inhibitor therapy for type 2 diabetes"
"SGLT2 inhibitors heart failure","sglt2 inhibitors heart failure"
"SGLT2 inhibitors heart failure reduced ejection fraction randomized trial","sglt2 inhibitors heart failure reduced ejection fraction randomized trial"
"Shortness of breath and acute respiratory failure","shortness of breath and acute respiratory failure"
"Sickle cell disease: hydroxyurea therapy and crisis prevention","sickle cell disease hydroxyurea therapy and crisis prevention"
"Silo Filler's Disease","silo filler s disease"
"Sjogren syndrome systemic and topical therapy","sjogren syndrome systemic and topical therapy"
"Skin and soft tissue infection antibiotic strategy","skin and soft tissue infection antibiotic strategy"
"Sleep-related hypoxemia in COPD","sleep related hypoxemia in copd"
"spironolactone mineralocorticoid antagonist severe heart failure survival","spironolactone mineralocorticoid antagonist severe heart failure survival"
"Spontaneous bacterial peritonitis vs secondary surgical peritonitis","spontaneous bacterial peritonitis vs secondary surgical peritonitis"
"Spontaneous bacterial peritonitis: diagnosis, prophylaxis, treatment","spontaneous bacterial peritonitis diagnosis prophylaxis treatment"
"Staphylococcus aureus bacteremia diagnostic workup and duration","staphylococcus aureus bacteremia diagnostic workup and duration"
"Status epilepticus emergency treatment","status epilepticus emergency treatment"
"Status epilepticus pharmacotherapy","status epilepticus pharmacotherapy"
"STEMI primary PCI reperfusion","stemi primary pci reperfusion"
"Steroids in community acquired pneumonia","steroids in community acquired pneumonia"
"Steroids in pneumonia","steroids in pneumonia"
"Stimulant use disorder contingency management","stimulant use disorder contingency management"
"Stroke and TIA","stroke and tia"
"Subclinical hypothyroidism treatment thresholds","subclinical hypothyroidism treatment thresholds"
"Sudden sensorineural hearing loss: diagnosis and treatment","sudden sensorineural hearing loss diagnosis and treatment"
"Suicide risk assessment and self-harm","suicide risk assessment and self harm"
"Surgical site infection: prevention and management","surgical site infection prevention and management"
"Surviving Sepsis Campaign guidelines and care bundles","surviving sepsis campaign guidelines and care bundles"
"surviving sepsis campaign guidelines management sepsis septic shock","surviving sepsis campaign guidelines management sepsis septic shock"
"Suspected melanoma, non-melanoma skin cancer and urgent referral","suspected melanoma non melanoma skin cancer and urgent referral"
"suspected pulmonary embolism diagnosis YEARS algorithm D-dimer CT pulmonary angiography","suspected pulmonary embolism diagnosis years algorithm d dimer ct pulmonary angiography"
"Syncope and postural hypotension","syncope and postural hypotension"
"tenecteplase alteplase acute ischemic stroke EXTEND-IA TNK","tenecteplase alteplase acute ischemic stroke extend ia tnk"
"Testicular germ cell tumor chemotherapy","testicular germ cell tumor chemotherapy"
"The febrile child: assessment, red flags and paediatric sepsis","the febrile child assessment red flags and paediatric sepsis"
"Thrombotic thrombocytopenic purpura: caplacizumab and plasma exchange","thrombotic thrombocytopenic purpura caplacizumab and plasma exchange"
"ticagrelor versus clopidogrel acute coronary syndromes","ticagrelor versus clopidogrel acute coronary syndromes"
"Tick-borne rickettsial disease empiric doxycycline","tick borne rickettsial disease empiric doxycycline"
"tocilizumab COVID-19 hospitalized patients","tocilizumab covid 19 hospitalized patients"
"Tonsillitis, peritonsillar abscess and deep neck infection","tonsillitis peritonsillar abscess and deep neck infection"
"Toxic and nutritional neuropathies: B12, B6 deficiency, chemotherapy-induced","toxic and nutritional neuropathies b12 b6 deficiency chemotherapy induced"
"tranexamic acid trauma hemorrhage CRASH-2","tranexamic acid trauma hemorrhage crash 2"
