topic,normalized_topic
"chronic lymphocytic leukaemia chemoimmunotherapy with fcr","chronic lymphocytic leukaemia chemoimmunotherapy with fcr"
"chronic lymphocytic leukaemia ibrutinib and venetoclax based targeted therapy","chronic lymphocytic leukaemia ibrutinib and venetoclax based targeted therapy"
"chronic myeloid leukaemia imatinib and second generation tki therapy","chronic myeloid leukaemia imatinib and second generation tki therapy"
"common variable immunodeficiency diagnosis and infection prevention","common variable immunodeficiency diagnosis and infection prevention"
"community acquired pneumonia","community acquired pneumonia"
"complement deficiency infection susceptibility","complement deficiency infection susceptibility"
"complicated intra abdominal infection source control and duration","complicated intra abdominal infection source control and duration"
"continuous glucose monitoring in diabetes","continuous glucose monitoring in diabetes"
"covid 19 critical care dexamethasone and immunomodulation","covid 19 critical care dexamethasone and immunomodulation"
"cushing syndrome medical therapy","cushing syndrome medical therapy"
"cytomegalovirus prevention in transplant recipients","cytomegalovirus prevention in transplant recipients"
"diabetic retinopathy anti vegf therapy","diabetic retinopathy anti vegf therapy"
"diffuse large b cell lymphoma car t cell therapy in relapsed refractory disease","diffuse large b cell lymphoma car t cell therapy in relapsed refractory disease"
"dual antiplatelet therapy duration after pci","dual antiplatelet therapy duration after pci"
"dupilumab il 4 il 13 inhibitor biologic therapy","dupilumab il 4 il 13 inhibitor biologic therapy"
"durable lvad therapy for advanced heart failure","durable lvad therapy for advanced heart failure"
"ebola virus disease therapeutics and supportive care","ebola virus disease therapeutics and supportive care"
"esophageal cancer neoadjuvant chemoradiation","esophageal cancer neoadjuvant chemoradiation"
"gerd refractory symptoms and antireflux surgery","gerd refractory symptoms and antireflux surgery"
"glycemic control in critical illness","glycemic control in critical illness"
"graves disease antithyroid and radioiodine therapy","graves disease antithyroid and radioiodine therapy"
"haemophilia a factor viii prophylaxis and emicizumab for inhibitor patients","haemophilia a factor viii prophylaxis and emicizumab for inhibitor patients"
"head and neck squamous cell chemoradiation","head and neck squamous cell chemoradiation"
"healthcare associated mrsa decolonization and prevention","healthcare associated mrsa decolonization and prevention"
"heart failure remote hemodynamic monitoring","heart failure remote hemodynamic monitoring"
"hemodialysis adequacy and frequency","hemodialysis adequacy and frequency"
"herpes simplex encephalitis antiviral therapy","herpes simplex encephalitis antiviral therapy"
"hiv pre exposure prophylaxis","hiv pre exposure prophylaxis"
"home noninvasive ventilation for copd hypercapnia","home noninvasive ventilation for copd hypercapnia"
"hospital acquired and ventilator associated pneumonia","hospital acquired and ventilator associated pneumonia"
"hybrid closed loop insulin delivery in type 1 diabetes","hybrid closed loop insulin delivery in type 1 diabetes"
"hyperkalemia in ckd and heart failure","hyperkalemia in ckd and heart failure"
"hypersensitivity pneumonitis diagnosis and antigen avoidance","hypersensitivity pneumonitis diagnosis and antigen avoidance"
"icosapent ethyl residual cardiovascular risk","icosapent ethyl residual cardiovascular risk"
"igg4 related disease diagnosis and b cell depletion","igg4 related disease diagnosis and b cell depletion"
"intensive glycemic targets in type 2 diabetes","intensive glycemic targets in type 2 diabetes"
"invasive aspergillosis antifungal therapy","invasive aspergillosis antifungal therapy"
"invasive candidiasis and candidemia antifungal therapy","invasive candidiasis and candidemia antifungal therapy"
"kidney transplant antibody mediated rejection","kidney transplant antibody mediated rejection"
"latex and perioperative allergy evaluation","latex and perioperative allergy evaluation"
"lithium monitoring and toxicity prevention","lithium monitoring and toxicity prevention"
"lyme disease diagnosis and treatment","lyme disease diagnosis and treatment"
"major depressive disorder pharmacotherapy","major depressive disorder pharmacotherapy"
"menopausal hormone therapy risks and benefits","menopausal hormone therapy risks and benefits"
"metformin and glycemic legacy in type 2 diabetes","metformin and glycemic legacy in type 2 diabetes"
"mitral regurgitation teer mitraclip","mitral regurgitation teer mitraclip"
"mog antibody associated disease diagnosis and relapse prevention","mog antibody associated disease diagnosis and relapse prevention"
"myelofibrosis jak inhibition with ruxolitinib","myelofibrosis jak inhibition with ruxolitinib"
"neuromyelitis optica spectrum disorder biologic therapy","neuromyelitis optica spectrum disorder biologic therapy"
"neuropathic pain pharmacotherapy","neuropathic pain pharmacotherapy"
"noninfectious uveitis biologic therapy","noninfectious uveitis biologic therapy"
"obsessive compulsive disorder ssri and erp","obsessive compulsive disorder ssri and erp"
"opioid use disorder buprenorphine and methadone","opioid use disorder buprenorphine and methadone"
"outpatient parenteral antimicrobial therapy program safety","outpatient parenteral antimicrobial therapy program safety"
"panic disorder pharmacotherapy and cbt","panic disorder pharmacotherapy and cbt"
"parkinson disease motor complications","parkinson disease motor complications"
"penicillin allergy evaluation and delabeling","penicillin allergy evaluation and delabeling"
"perioperative bridging anticoagulation","perioperative bridging anticoagulation"
"physiology guided pci fractional flow reserve","physiology guided pci fractional flow reserve"
"polycythemia vera hematocrit targets aspirin and cardiovascular risk reduction","polycythemia vera hematocrit targets aspirin and cardiovascular risk reduction"
"polymyalgia rheumatica relapse prevention","polymyalgia rheumatica relapse prevention"
"primary biliary cholangitis pharmacotherapy","primary biliary cholangitis pharmacotherapy"
"primary immunodeficiency immunoglobulin replacement","primary immunodeficiency immunoglobulin replacement"
"primary prevention icd sudden cardiac death","primary prevention icd sudden cardiac death"
"primary sclerosing cholangitis medical therapy and surveillance","primary sclerosing cholangitis medical therapy and surveillance"
"procalcitonin guided antibiotic de escalation in icu","procalcitonin guided antibiotic de escalation in icu"
"ptsd trauma focused psychotherapy and ssri","ptsd trauma focused psychotherapy and ssri"
"pulmonary artery catheter utility in critically ill patients","pulmonary artery catheter utility in critically ill patients"
"pulmonary nodule evaluation and fleischner follow up","pulmonary nodule evaluation and fleischner follow up"
"radial versus femoral access for pci","radial versus femoral access for pci"
"reproductive health in rheumatic disease","reproductive health in rheumatic disease"
"solid organ transplant induction immunosuppression","solid organ transplant induction immunosuppression"
"spontaneous coronary artery dissection","spontaneous coronary artery dissection"
"subclinical hypothyroidism treatment thresholds","subclinical hypothyroidism treatment thresholds"
"surgical site infection prevention","surgical site infection prevention"
"takayasu arteritis biologic therapy","takayasu arteritis biologic therapy"
"thrombotic thrombocytopenic purpura caplacizumab and plasma exchange","thrombotic thrombocytopenic purpura caplacizumab and plasma exchange"
"thyroid nodule evaluation and fna","thyroid nodule evaluation and fna"
"tick borne rickettsial disease empiric doxycycline","tick borne rickettsial disease empiric doxycycline"
"transient ischemic attack rapid assessment","transient ischemic attack rapid assessment"
"tricuspid regurgitation teer","tricuspid regurgitation teer"
"type 1 diabetes intensive glycemic control","type 1 diabetes intensive glycemic control"
"vericiguat in worsening heart failure","vericiguat in worsening heart failure"
"vte prophylaxis in mechanically ventilated icu patients","vte prophylaxis in mechanically ventilated icu patients"
