topic,specialty,guideline_bodies,practice_guideline_mcqs,latest_guideline_year
"Trigeminal neuralgia: carbamazepine optimization, microvascular decompression","Neurology","EAN 2019, NICE 2021",4,2019
"Advanced melanoma immunotherapy","","",4,
"Essential tremor: medical management (beta-blockers, primidone) vs MR-guided FUS","Neurology","",4,2025
"Medication overuse headache: detoxification strategies, bridging therapies","Neurology","NICE, 2012",4,2011
"Metabolic and mitochondrial myopathies: MELAS, MERRF, ragged red fibres","Neurology","",4,
"Restless Legs Syndrome (RLS): iron store optimization, dopamine agonist augmentation","Neurology","",4,2012
"CAR-T therapy large B-cell lymphoma","","",4,
"Mild cognitive impairment (MCI): amnestic vs non-amnestic progression tracking","Neurology","",4,2018
"Statin-induced necrotising autoimmune myopathy: HMGCR antibody management","Neurology","",4,2016
"Tension-type headache: tricyclic antidepressants, lifestyle interventions","Neurology","NICE 2012",4,2023
"Vascular dementia: Hachinski ischaemic score, subcortical ischaemic vascular dementia","Neurology","NICE [1]; NICE [5]; NICE [3]",4,
"Mononeuritis multiplex: vasculitic causes, nerve biopsy indications","Neurology","",2,
"Myoclonus: classification (cortical vs subcortical), pharmacological approaches","Neurology","NICE 2022; NICE 2020",4,
"Hypertensive emergency: end-organ damage, IV agents, blood pressure targets","Cardiology","NICE 2022; NICE 2004, amended 2019",4,2019
"Benign Paroxysmal Positional Vertigo (BPPV): Dix-Hallpike, Epley manoeuvre","Neurology","",4,2017
"Cauda equina syndrome: surgical emergency signs, post-void residual volumes","Neurology","",4,2016
"Paraneoplastic neurological syndromes: Anti-Hu, Anti-Yo, Anti-Ri","Neurology","",4,2011
"Colorectal cancer adjuvant chemotherapy","Gastroenterology","NCCN 2023; ESMO 2026 [G1] — Preoperative exercise-only interventions si; ESMO 2026 [G5, G6] — Closing rectal defect reduces re-admiss",4,
"Pituitary adenomas: micro vs macro, prolactinoma medical care vs transsphenoidal surgery","Neurology","",4,2022
"Charcot-Marie-Tooth disease: CMT1A duplication, nerve conduction patterns","Neurology","",4,2025
"Cervical spondylotic myelopathy: clinical signs, surgical decompression indications","Neurology","",4,2009
"Syringomyelia: Chiari malformation associations, shunt indications","Neurology","NICE [4]",4,2009
"Neurosarcoidosis: cranial neuropathies, meningeal enhancement, CSF profile","Neurology","",4,2013
"Deep brain stimulation (DBS): STN vs GPi target selection, patient criteria","Neurology","",4,2022
"Papilloedema: funduscopic grading, raised intracranial pressure management","Neurology","",4,2001
"Periodic paralyses: hypokaemic vs hyperkaemic variants, channelopathies","Neurology","",4,2008
"Third, fourth, and sixth cranial nerve palsies: pupil-sparing oculomotor palsy","Neurology","",4,
"Spinal cord infarction: anterior spinal artery syndrome, presentation","Neurology","",4,2026
"Duchenne and Becker muscular dystrophies: dystrophin genetics, cardiomyopathy tracking","Neurology","",4,2025
"Recurrent Clostridioides difficile infection","","",4,
"Vestibular Schwannoma: surveillance vs radiation vs surgery, neurofibromatosis 2","Neurology","NICE [5]; NICE [2]; NICE [4]",4,2024
"Entrapment neuropathies: carpal tunnel, cubital tunnel, peroneal nerve compression","Neurology","",4,2025
"Frontotemporal dementia: behavioural variant, semantic dementia, PNFA","Neurology","NICE [1]; NICE [2]; NICE [4]",4,
"Bariatric surgery in type 2 diabetes","","NICE 2013; NICE 2025",2,
"Idiopathic Intracranial Hypertension (IIH): lumbar puncture opening pressure, acetazolamide, stenting","Neurology","",4,
"Multiple sclerosis disease-modifying therapy","Neurology","NICE 2022",4,
"Beta-blockers in heart failure: carvedilol, bisoprolol, metoprolol succinate titration","Cardiology","NICE 2021",4,2025
"Mechanical complications of myocardial infarction: VSD, free wall rupture, papillary muscle","Cardiology","",4,
"Secondary headaches: red flags (SNOOP4), neuroimaging criteria","Neurology","NICE, ACOG 2022; NICE",4,2022
"Polymyositis and Dermatomyositis: muscle biopsy findings, extramuscular features","Neurology","",4,2005
"Carotid and vertebral artery dissection: antiplatelets vs anticoagulation paradigms","Neurology","",4,2025
"Amyotrophic Lateral Sclerosis (ALS): El Escorial criteria, riluzole, non-invasive ventilation","Neurology","NICE 2016",4,2024
"Drug-induced movement disorders: acute dystonia, akathisia, tardive dyskinesia","Neurology","NICE July 2012",4,2023
"Brain metastases: stereotactic radiosurgery vs whole-brain radiation vs resection","Neurology","NICE 2015, amended 2022; ASCO-SNO-ASTRO 2022",4,2022
"Temporal lobe epilepsy: mesial temporal sclerosis, anterior temporal lobectomy","Neurology","",4,2017
"Chronic Inflammatory Demyelinating Polyradiculoneuropathy (CIDP): electrodiagnostic criteria, maintenance therapies","Neurology","",4,2021
"Diverticulitis: Hinchey classification, antibiotic use, surgical indications","Neurology","",4,2022
"Peptic ulcer bleeding and H pylori","","NICE 2004, amended 2014; NICE 2004",3,
"Lambert-Eaton Myasthenic Syndrome (LEMS): VGCC antibodies, small cell lung cancer connection","Neurology","",4,2011
"Internuclear ophthalmoplegia (INO): MLF lesion localization, management","Neurology","",4,
"Pure Autonomic Failure and Orthostatic Hypotension: midodrine, fludrocortisone optimization","Neurology","",4,2016
"Lung cancer screening low-dose CT","","",4,
"Hospital-acquired and ventilator-associated pneumonia","","",4,
"Mechanical thrombectomy: extended time windows, ASPECT scores, CT perfusion","Neurology","",4,2014
"Acute limb ischaemia: Rutherford classification, embolectomy, thrombolysis","Cardiology","",2,2023
"Meningioma: WHO grading, observation guidelines, surgical margins","Neurology","NICE 2018 (Guideline [2]); NICE 2018 (Guideline [6]); NICE 2018 (Guideline [3])",4,2021
"Postural Orthostatic Tachycardia Syndrome (POTS): tilt table, non-pharmacological","Neurology","",4,2020
"Tourette syndrome: tics management, alpha-2 agonists, habit reversal therapy","Neurology","",4,
"Multiple System Atrophy (MSA): MSA-P vs MSA-C, autonomic failure profiling","Neurology","",4,2021
"Myasthenic crisis: intubation thresholds, IVIG vs plasmapheresis, steroid warnings","Neurology","",4,
"Heart failure with reduced ejection fraction","Cardiology","NICE [3], NICE [4]; NICE [5], NICE [6]; NICE [3]",4,2025
"Abdominal aortic aneurysm: surveillance thresholds, EVAR vs open repair","Cardiology","NICE [1]; NICE [2]; NICE [5], [6] (implied threshold)",4,2021
"Acute aortic dissection: Stanford classification, imaging, surgical vs medical management","Cardiology","KDIGO [3]",4,2021
"Acute decompensated heart failure: diuretic titration and decongestion strategies","Cardiology","NICE 2021",4,2022
"Atrial fibrillation anticoagulation","Cardiology","NICE 2021; NICE 2006, amended 2014",8,2023
"Heart failure with preserved ejection fraction","Cardiology","",4,2024
"Influenza antiviral treatment","","NICE guidelines on ARI",4,
"Cardiac resynchronisation therapy: patient selection, QRS criteria, response predictors","Cardiology","",4,2005
"Narrow-complex tachycardias: SVT diagnosis, vagal manoeuvres, adenosine, ablation","Cardiology","",4,2025
"Chronic coronary syndrome: stable angina assessment and revascularisation decisions","Cardiology","NICE guideline [4]; NICE guideline [1]; NICE guideline [3]",4,2024
"Cocaine-induced myocardial infarction: pathophysiology and management","Cardiology","",4,
"Dilated cardiomyopathy: aetiology workup, genetic testing, device therapy","Cardiology","",4,2023
"Heart failure remote monitoring: biomarkers, implantable sensors, telemonitoring","Cardiology","",4,2024
"Cardiac amyloidosis: TTR vs AL, tafamidis, diagnosis with bone scintigraphy","Cardiology","",4,2026
"Inherited arrhythmia syndromes: long QT, Brugada, catecholaminergic VT, ARVC","Cardiology","",4,2026
"MINOCA: ischaemia with non-obstructive coronary arteries workup and management","Cardiology","",4,2024
"Hypertrophic cardiomyopathy: obstruction management, SCD risk stratification, mavacamten","Cardiology","",4,2024
"Wide-complex tachycardias: VT vs SVT with aberrancy, Brugada algorithm","Cardiology","NICE",4,2022
"Peripartum cardiomyopathy: bromocriptine, timing of delivery, LV recovery","Cardiology","NICE",4,
"Peripheral artery disease: ABI interpretation, medical therapy, revascularisation","Cardiology","NICE 2012",4,2024
"Pulmonary hypertension: WHO classification, haemodynamic definitions, targeted therapy","Cardiology","",4,2026
"Venous thromboembolism anticoagulation","Cardiology","",4,
"Acute pericarditis: colchicine, NSAIDs, recurrence prevention","Cardiology","",4,2000
"Transoesophageal echocardiography: indications, LA thrombus, valve assessment","Cardiology","",4,
"Adult congenital heart disease: Eisenmenger syndrome, residual lesions, transition care","Cardiology","NICE 2021; NICE 2014",4,2025
"Aortic stenosis: grading severity, low-flow low-gradient, intervention timing","Cardiology","[4] NICE",4,2020
"Chronic aortic regurgitation: surveillance intervals and surgical timing","Cardiology","",4,
"Cardiovascular magnetic resonance: viability, myocarditis, cardiomyopathy assessment","Cardiology","NICE 2012",4,2025
"Mitral stenosis: commissurotomy vs valve replacement, rheumatic disease","Cardiology","NICE [5], [6]",4,2021
"COPD maintenance bronchodilator combination therapy","","6 NICE",4,
"Constrictive pericarditis: haemodynamic features, pericardiectomy indications","Cardiology","",4,2024
"Coronary artery calcium scoring: risk reclassification and preventive decision-making","Cardiology","",4,2017
"Cardio-oncology: chemotherapy cardiotoxicity, checkpoint inhibitor myocarditis, surveillance","Cardiology","",4,2025
"Group 1 pulmonary arterial hypertension: ERA, PDE5i, prostacyclin, combination therapy","Cardiology","",4,
"Coronary CT angiography: FFRCT, plaque characterisation, clinical applications","Cardiology","",4,2023
"Drug-induced QT prolongation: risk stratification, offending drugs, monitoring","Cardiology","",4,2021
"Resistant hypertension: aldosterone antagonism, renal denervation, workup","Cardiology","[3] NICE 2019; [1] NICE 2019; [2] NICE 2019",4,
"Anticoagulation for mechanical heart valves: INR targets, bridging strategies","Cardiology","[2] NICE; [5] NICE; [4] NICE",4,
"Infective endocarditis: Duke criteria, empiric antibiotics, surgical indications","Cardiology","NICE [6]",4,2015
"Primary mitral regurgitation: watchful waiting vs surgical repair timing","Cardiology","",4,2022
"Prosthetic valve thrombosis: thrombolysis vs surgery, anticoagulation intensification","Cardiology","",4,2012
"Stress echocardiography: protocols, ischaemia detection, viability assessment","Cardiology","",4,2024
"Tricuspid regurgitation: functional vs primary, transcatheter repair options","Cardiology","",4,2025
"Refractory ventricular fibrillation: double sequential defibrillation, amiodarone","Cardiology","",4,2019
"ACE inhibitors and ARBs in cardiovascular disease: renal monitoring, hyperkalaemia","Cardiology","NICE 2019, PloS one; NICE 2019",4,2025
"Class III antiarrhythmics: amiodarone, sotalol, dronedarone toxicity monitoring","Cardiology","",4,
"Air embolism: venous vs arterial, Trendelenburg positioning, hyperbaric oxygen","Cardiology","",4,
"Cardiac arrest in special circumstances: pregnancy, drowning, hypothermia, PE","Cardiology","",2,2025
"STEMI: electrocardiographic mimics and reperfusion decision","Cardiology","",4,
"SGLT2 inhibitors in cardiovascular disease: empagliflozin, dapagliflozin, renal protection","Cardiology","",4,2024
"Coronary revascularisation in multivessel disease: SYNTAX score, PCI vs CABG","Cardiology","[NICE 4], [ESC 6]; [NICE 3]; [NICE 2], [ESC 6]",4,2023
"Direct oral anticoagulants: dabigatran, rivaroxaban, apixaban, reversal agents","Cardiology","ISTH SSC",4,2024
"ESC guideline updates: annual revisions, class of recommendation framework","Cardiology","NICE recommendation 1.5.3; NICE guideline on drug misuse prevention",4,2015
"Key lipid-lowering trials: 4S, HPS, FOURIER, ODYSSEY interpretation","Cardiology","",4,2024
"Massive pulmonary embolism: thrombolysis, catheter-directed therapy, ECMO","Cardiology","",4,
"Mineralocorticoid receptor antagonists: spironolactone, eplerenone, finerenone","Cardiology","KDIGO",4,2025
"PEA and asystole: reversible causes, ACLS algorithm, high-quality CPR","Cardiology","",4,2017
"Perioperative cardiovascular risk assessment: revised cardiac risk index, pre-op optimisation","Cardiology","",4,2025
"Post-cardiac arrest syndrome: targeted temperature management, haemodynamic optimisation","Cardiology","",2,
"Quality measures in acute MI: PPCI door-to-balloon, secondary prevention audits","Cardiology","",4,2025
"Radiation-induced heart disease: coronary artery disease, valvular, pericardial","Cardiology","",4,2013
"Cardiac device malfunctions: pacemaker failure, ICD inappropriate shocks, troubleshooting","Cardiology","",4,2023
"Cardiac device safety: MRI conditional pacing, electromagnetic interference, recalls","Cardiology","NICE 2010 guideline 1 (Health and Safety at Work etc Act 197; NICE 2010 guideline 2 (Implantable event recorder follow-up)",4,2024
"Refractory angina: enhanced external counterpulsation, spinal cord stimulation","Cardiology","",4,2011
"Antibiotic prophylaxis for infective endocarditis: high-risk procedures and patients","Cardiology","NICE 2015",4,2024
"Community-Acquired Pneumonia","Pulmonology","ESCMID 2011; PIDS/IDSA 2011, BTS 2009",4,2026
"Cardiac myxoma: clinical features, embolism risk, surgical excision","Cardiology","",4,2021
"Acute myocarditis: Dallas criteria, cardiac MRI, immunosuppression indications","Cardiology","",4,2023
"Cardiogenic shock: classification and early mechanical circulatory support","Cardiology","NICE; ESICM 2025, NICE; ESICM",4,2025
"Sleep apnoea and cardiovascular disease: CPAP, AF risk, hypertension, arrhythmia","Cardiology","",4,
"Chronic venous insufficiency: compression therapy, ablation, venous ulcer management","Cardiology","NICE",4,2025
"Syncope evaluation: tilt table testing, loop recorder, reflex vs cardiac causes","Cardiology","",4,
"CKD and ischaemic heart disease: contrast nephropathy, antiplatelet choices","Cardiology","NICE 2019; NICE 2011",4,
"Class I antiarrhythmics: flecainide, propafenone, quinidine, use and contraindications","Cardiology","European journal of clinical pharmacology; NICE 2014; NICE; NICE 2014",4,2022
"Takotsubo cardiomyopathy: diagnostic criteria, management, recurrence","Cardiology","",4,2007
"Secondary mitral regurgitation: transcatheter MitraClip vs medical therapy, COAPT trial","Cardiology","",4,2025
"Transcatheter aortic valve implantation (TAVI): patient selection, access, complications","Cardiology","",4,2017
"Dual antiplatelet therapy: duration, P2Y12 selection, and bleeding risk balancing","Cardiology","",4,2024
"Dyslipidaemia: LDL targets, statin intensification, PCSK9 inhibitors","Cardiology","NICE 2014, amended December 2023; NICE TA694, 2021",4,2016
"ICD deactivation and advanced care directives: ethical framework, shared decision-making","Cardiology","",4,
"Intravenous inotropes: dobutamine, milrinone, levosimendan in acute heart failure","Cardiology","EFIM 2021, NICE 2018; NICE 2018",4,
"Preventive cardiology: cardiovascular risk calculators, primary prevention guidelines","Cardiology","",4,2025
"Autonomic dysfunction in cardiovascular disease: POTS, OH, vagal syncope","Cardiology","",4,2016
"Nitrate therapy: GTN, isosorbide mononitrate, tolerance, combination use","Cardiology","",4,2004
"Rheumatological disease and the heart: SLE myocarditis, AS aortitis, RA pericarditis","Cardiology","",4,2024
"Chronic Thromboembolic Pulmonary Hypertension","Pulmonology","",4,2011
"Bronchoscopic Lung Volume Reduction","Pulmonology","",4,2021
"Antimicrobial stewardship: IV to oral switch, duration of therapy, procalcitonin-guided therapy","Infectious Diseases","",4,2024
"Hepatitis C: DAA therapy, pangenotypic regimens, SVR12, HCV cure, screening","Infectious Diseases","AASLD ISDA; EASL",4,2026
"Bacterial meningitis: empirical antibiotics, dexamethasone, LP contraindications, CSF interpretation","Infectious Diseases","",4,2016
"TB treatment: RIPE regimen, hepatotoxicity monitoring, directly observed therapy, drug-resistant TB","Infectious Diseases","",4,2025
"Central line-associated bloodstream infection CLABSI: prevention bundles, diagnosis, treatment","Infectious Diseases","",4,2025
"MRSA: decolonisation, mupirocin, chlorhexidine, glycopeptides, daptomycin, linezolid","Infectious Diseases","Infectious Diseases Society of America (IDSA)",4,2024
"Schizophrenia antipsychotic treatment strategies","","",4,
"Transthyretin amyloidosis treatment","","",4,
"HIV: initial diagnosis, CD4 count, viral load, when to start ART","Infectious Diseases","",4,2025
"HIV opportunistic infections: PCP prophylaxis thresholds, MAC, CMV retinitis, toxoplasmosis","Infectious Diseases","",4,2016
"Infective endocarditis: Duke criteria, blood cultures, echocardiography, surgical indications","Infectious Diseases","",4,2015
"Post-exposure prophylaxis PEP: occupational and non-occupational, 72-hour window, regimen","Infectious Diseases","",4,2024
"Prosthetic joint infection: two-stage vs one-stage revision, biofilm, rifampicin combinations","Infectious Diseases","",4,2020
"Tuberculosis: active vs latent TB, Mantoux, IGRA, NICE guidance, contact tracing","Infectious Diseases","",4,2026
"Urinary tract infections: uncomplicated vs complicated, catheter-associated, treatment duration","Infectious Diseases","",4,2024
"Viral encephalitis: HSV encephalitis, aciclovir, CSF PCR, MRI findings, empirical approach","Infectious Diseases","",4,2012
"Drug-Resistant TB","Pulmonology","",4,2020
"Lupus nephritis induction and maintenance therapy","","",4,
"Dengue fever: clinical phases, NS1 antigen, DHF warning signs, fluid management","Infectious Diseases","",4,2010
"Gonorrhoea resistance: ceftriaxone-azithromycin dual therapy, reduced susceptibility, test of cure","Infectious Diseases","NICE",0,
"Diabetic foot infection: osteomyelitis diagnosis, MDT approach, antibiotic duration, bone biopsy","Infectious Diseases","SPILF 2023 [1]; SPILF 2023 [3]; SPILF 2023 [4]",4,2023
"Syphilis: staging, serology interpretation, penicillin treatment, neurosyphilis management","Infectious Diseases","",4,2024
"Osteomyelitis: acute vs chronic, MRI, bone biopsy, oral vs IV antibiotics, OVIVA trial","Infectious Diseases","PIDS/IDSA Strong; IDSA Strong; IDSA",4,2021
"Brucellosis: occupational exposure, serology, doxycycline-rifampicin combination, relapse","Infectious Diseases","",4,2017
"Meningococcal disease: purpuric rash, IV benzylpenicillin, chemoprophylaxis, vaccination","Infectious Diseases","ACIP: Routine vaccination with quadrivalent meningococcal co; ACIP: Booster doses of serogroup B meningococcal (MenB) vacc; ACIP: Meningococcal polysaccharide-protein conjugate vaccine",4,2020
"Hepatitis B: natural history, HBeAg, HBsAg, HBV DNA, antiviral indications, tenofovir","Infectious Diseases","AASLD 2018, EASL 2017; AASLD ISDA Practice Guideline on treatment of chronic hepatitis B; EASL Clinical Practice Guidelines on the management of hepatitis B virus infection",4,2026
"Influenza: neuraminidase inhibitors, oseltamivir timing, high-risk groups, vaccination","Infectious Diseases","ACIP; American Academy of Pediatrics, ACIP",4,2025
"Intra-abdominal infections: source control principles, empirical antibiotics, peritonitis","Infectious Diseases","IDSA 2023; IDSA/ASM 2023; IDSA",4,2024
"Lyme disease: Borrelia, tick bite, erythema migrans, disseminated disease, doxycycline","Infectious Diseases","",4,2025
"Malaria: P. falciparum vs non-falciparum, artemisinin-based therapy, severe malaria, quinine","Infectious Diseases","",4,2008
"Necrotising fasciitis: diagnosis, LRINEC score, surgical debridement, polymicrobial coverage","Infectious Diseases","Infectious Diseases Society of America (IDSA) guidelines for",4,2004
"Sexually transmitted infections: gonorrhoea, chlamydia, syphilis: diagnostic tests and treatment","Infectious Diseases","",4,2024
"Typhoid fever: Salmonella typhi, Widal test, blood culture, azithromycin, ceftriaxone","Infectious Diseases","",4,1992
"Type 1 diabetes mellitus: autoimmune markers, insulin regimens, honeymoon phase","Endocrinology & Diabetes","",4,
"Antifungal agents: azoles, echinocandins, polyenes: mechanisms, spectrum, drug interactions","Infectious Diseases","",4,2021
"Viral hepatitis A and E: faeco-oral transmission, self-limiting, vaccination, fulminant hepatitis","Infectious Diseases","EASL 2018",4,2025
"Infection prevention and control: standard precautions, contact isolation, hand hygiene evidence","Infectious Diseases","World Health Organization (WHO) 'My Five Moments for Hand Hy",4,2026
"Legionella pneumophila: urinary antigen, pontiac fever, cooling towers, azithromycin, quinolones","Infectious Diseases","IDSA 2016; Infectious Diseases Society of America (IDSA)",4,1999
"Tetanus: immunisation status, wound assessment, tetanus immunoglobulin, metronidazole","Infectious Diseases","ACIP 2018; American Academy of Pediatrics 1977, ACIP 2018; EULAR 2020",4,2020
"Advanced urothelial carcinoma treatment","","NICE guideline [3]; NICE guideline [1]; NICE guideline [5]",4,
"Beta-lactam allergy: penicillin allergy delabelling, cross-reactivity, skin testing, graded challenge","Infectious Diseases","British Society for Allergy and Clinical Immunology (BSACI);; British Society for Allergy and Clinical Immunology (BSACI)",4,2024
"Leishmaniasis: visceral vs cutaneous, kala-azar, liposomal amphotericin B, diagnosis","Infectious Diseases","",4,2026
"Pulmonary arterial hypertension targeted therapy","","NICE guideline [1]; NICE guidelines [4], [5]; NICE guideline [6]",4,
"Novel antibiotics for resistant Gram-negatives: ceftazidime-avibactam, cefiderocol, imipenem-relebactam","Infectious Diseases","NICE",0,2026
"Rabies: post-exposure prophylaxis, immunoglobulin, vaccine schedule, wound management","Infectious Diseases","ACIP [1], [4]; ACIP [2]; ACIP [3]",4,2008
"Septic arthritis: Staphylococcus, Gonococcal, joint washout, antibiotic selection","Infectious Diseases","",4,2024
"Streptococcal infections: Group A Strep, scarlet fever, rheumatic fever, toxic shock syndrome","Infectious Diseases","",4,2018
"Asbestosis","Pulmonology","",4,2024
"Hepatitis D: superinfection vs coinfection, severity, peginterferon, bulevirtide","Infectious Diseases","EASL 2025, ACG 2017; EASL 2025, AASLD ISDA 2026; AASLD ISDA 2026, EASL 2025",4,2026
"Endobronchial ultrasound-guided transbronchial needle aspiration","Pulmonology","",4,2016
"Venous thromboembolism direct oral anticoagulant therapy","","",4,
"Biofilm-associated infections: chronic wounds, prosthetics, catheters, rifampicin strategies","Infectious Diseases","ESCMID",3,2015
"Endocarditis prophylaxis: NICE guidance, high-risk cardiac lesions, dental procedures","Infectious Diseases","",4,2015
"Notifiable diseases in the UK: statutory notification, Public Health England, outbreak investigation","Infectious Diseases","ACIP, CDC; ACIP",4,2011
"Surgical site infections: classification, risk factors, prophylaxis timing, MRSA decolonisation","Infectious Diseases","ESCMID/ECIC [1]; ESCMID/ECIC",4,2024
"Pertussis: clinical stages, macrolide treatment, post-exposure prophylaxis, vaccination","Infectious Diseases","ACIP: Infants and young children are recommended to receive; ACIP",4,2018
"Infection in pregnancy: GBS screening, listeria, toxoplasmosis, antiviral safety","Infectious Diseases","",4,2026
"Pandemic preparedness: lessons from COVID-19, surveillance, stockpiling, One Health approach","Infectious Diseases","",4,2020
"Spontaneous bacterial peritonitis SBP: ascites PMN count, cefotaxime, albumin, secondary prophylaxis","Infectious Diseases","",4,2024
"Antimicrobial resistance mechanisms: beta-lactamases, efflux pumps, porins, target modification","Infectious Diseases","",4,2005
"Allergic Bronchopulmonary Aspergillosis","Pulmonology","",4,2024
"Connective Tissue Disease-Associated ILD","Pulmonology","ERS/EULAR [1]; ERS/EULAR",0,2026
"Lymphangioleiomyomatosis","Pulmonology","",4,2025
"Pancoast Tumors","Pulmonology","",4,2013
"Hypersensitivity Pneumonitis","Pulmonology","",4,2025
"Pulmonary Arteriovenous Malformations","Pulmonology","",4,2024
"Cryptogenic Organizing Pneumonia","Pulmonology","",4,2019
"Solitary Pulmonary Nodule","Pulmonology","",4,2014
"Infectious diarrhoea: Campylobacter, Salmonella, STEC O157, norovirus, antibiotic indications","Infectious Diseases","",4,2009
"Sepsis and septic shock","Infectious Diseases","ACCP/SCCM Consensus Conference Committee; ACCP/SCCM Consensus Conference Committee (implied by Sepsis-",4,2025
"Pulmonary embolism diagnosis","Pulmonology","",4,2011
"Drug-Induced ILD","Pulmonology","EASL Clinical Practice Guidelines: Drug-induced liver injury",0,2021
"Rickettsial diseases: Rocky Mountain spotted fever, typhus, doxycycline, eschar recognition","Infectious Diseases","",4,2016
"Endemic Mycoses","Pulmonology","",4,2008
"ADHD pharmacotherapy (stimulants and comparative meta-analysis)","","",4,
"Hepatopulmonary Syndrome","Pulmonology","",4,2026
"Lung Cancer screening guidelines","Pulmonology","",4,2023
"Pulmonary Alveolar Proteinosis","Pulmonology","",4,2024
"Pyelonephritis: inpatient vs outpatient management, Gram-negative coverage, imaging indications","Infectious Diseases","",4,2022
"Acute severe asthma","Pulmonology","",4,2002
"Hyperventilation Syndrome","Pulmonology","",4,
"Silicosis","Pulmonology","",4,2025
"Smoking cessation pharmacotherapy","","",4,
"Malignant Pleural Effusion","Pulmonology","",4,2013
"Chylothorax","Pulmonology","",4,2026
"Hemothorax","Pulmonology","",4,2021
"High Altitude Pulmonary Edema","Pulmonology","",4,2019
"Occupational Asthma","Pulmonology","",4,2014
"Pneumomediastinum","Pulmonology","",4,2026
"Cryptococcal meningitis: India ink, cryptococcal antigen, amphotericin B, flucytosine, fluconazole","Infectious Diseases","",4,2024
"Alpha-1 Antitrypsin Deficiency","Pulmonology","",4,2022
"Acute and recurrent pericarditis colchicine","","",4,
